Malvales_Sarcolaenaceae_Leptolaena_cuspidata	Malvales_Malvaceae_Brachychiton_sp.	247	72.1
Malvales_Malvaceae_Melhania_ovata	Malvales_Malvaceae_Decaschistia_byrnesii	246	59.2
Sapindales_Anacardiaceae_Pentaspadon_motleyi	Sapindales_Anacardiaceae_Myracrodruon_urundeuva	254	47.8
Sapindales_Burseraceae_Trattinnickia_rhoifolia	Sapindales_Anacardiaceae_Myracrodruon_urundeuva	255	72.1
Sapindales_Burseraceae_Protium_javanicum	Sapindales_Burseraceae_Beiselia_mexicana	256	47.8
Sapindales_Meliaceae_Schmardaea_microphylla	Sapindales_Meliaceae_Aglaia_macrocarpa	257	47.8
Sapindales_Rutaceae_Melicope_ternata	Sapindales_Rutaceae_Ruta_graveolens	258	66
Sapindales_Sapindaceae_Hypelate_trifoliata	Sapindales_Sapindaceae_Synima_cordierorum	259	56
Sapindales_Kirkiaceae_Kirkia_wilmsii	Sapindales_Sapindaceae_Hypelate_trifoliata	260	89.8
Sapindales_Simaroubaceae_Castela_coccinea	Sapindales_Simaroubaceae_Simaba_orinocensis	261	41.2
Celastrales_Celastraceae_Bequaertia_mucronata	Celastrales_Celastraceae_Lepuropetalon_spathulatum	203	37.8
Celastrales_Celastraceae_Lepuropetalon_spathulatum	Celastrales_Lepidobotryaceae_Lepidobotrys_staudtii	204	46.3
Cucurbitales_Anisophylleaceae_Anisophyllea_cinnamomoides	Cucurbitales_Corynocarpaceae_Corynocarpus_cribbianus	205	11.63
Cucurbitales_Begoniaceae_Begonia_sp.	Cucurbitales_Begoniaceae_Hillebrandia_sandwicensis	206	2.58
Cucurbitales_Corynocarpaceae_Corynocarpus_cribbianus	Cucurbitales_Coriariaceae_Coriaria_napalensis_s17781	207	15.97
Cucurbitales_Cucurbitaceae_Fevillea_pergamentacea	Cucurbitales_Begoniaceae_Begonia_sp.	208	47.8
Fabales_Fabaceae_Pentaclethra_macroloba	Fabales_Fabaceae_Zygia_racemosa	368	15
Fabales_Fabaceae_Archidendron_vaillantii	Fabales_Fabaceae_Bobgunnia_madagascariensis	369	37.8
Fabales_Fabaceae_Bauhinia_tomentosa	Fabales_Fabaceae_Cercis_canadensis	363	34.07
Fabales_Fabaceae_Bobgunnia_madagascariensis	Fabales_Fabaceae_Styphnolobium_japonicum	371	56
Fabales_Fabaceae_Guibourtia_hymenaeifolia	Fabales_Fabaceae_Hymenaea_courbaril	364	33.9
Fabales_Quillajaceae_Quillaja_saponaria	Fabales_Fabaceae_Stemonocoleus_micranthus	209	56
Fabales_Fabaceae_Erythrophleum_chlorostachys	Fabales_Fabaceae_Zygia_racemosa	350	37.8
Fabales_Polygalaceae_Rhinotropis_lindheimeri	Fabales_Polygalaceae_Xanthophyllum_octandrum	349	56
Fabales_Surianaceae_Cadellia_pentastylis	Fabales_Surianaceae_Guilfoylia_monostylis	210	48.5
Fabales_Surianaceae_Stylobasium_spathulatum	Fagales_Ticodendraceae_Ticodendron_incognitum	215	86.3
Fagales_Betulaceae_Betula_pendula	Fagales_Myricaceae_Myrica_cerifera	216	83.6
Fagales_Fagaceae_Fagus_sylvatica	Fagales_Betulaceae_Ostrya_chinensis	218	93.9
Fabales_Surianaceae_Stylobasium_spathulatum	Fagales_Ticodendraceae_Ticodendron_incognitum	1	83.6
Fagales_Betulaceae_Ostrya_chinensis	Fagales_Ticodendraceae_Ticodendron_incognitum	211	83.6
Fagales_Betulaceae_Ostrya_chinensis	Fagales_Betulaceae_Betula_pendula	212	56
Fagales_Casuarinaceae_Casuarina_equisetifolia	Fagales_Betulaceae_Ostryopsis_nobilis	213	56
Fagales_Fagaceae_Lithocarpus_polystachyus	Fagales_Fagaceae_Fagus_sylvatica	353	37.8
Fagales_Fagaceae_Castanea_crenata	Fagales_Fagaceae_Lithocarpus_polystachyus	2	37.8
Fagales_Juglandaceae_Pterocarya_stenoptera	Fagales_Juglandaceae_Carya_illinoinensis	217	64.4
Fagales_Nothofagaceae_Nothofagus_obliqua	Fagales_Fagaceae_Lithocarpus_polystachyus	352	83.5
Malpighiales_Clusiaceae_Garcinia_oblongifolia	Malpighiales_Clusiaceae_Clusia_rosea	220	41.2
Malpighiales_Calophyllaceae_Calophyllum_brasiliense	Malpighiales_Clusiaceae_Clusia_rosea	221	86.3
Malpighiales_Humiriaceae_Duckesia_verrucosa	Malpighiales_Ctenolophonaceae_Ctenolophon_englerianus	222	66
Malpighiales_Euphorbiaceae_Euphorbia_antiquorum	Malpighiales_Euphorbiaceae_Homalanthus_populifolius	223	37.8
Malpighiales_Humiriaceae_Duckesia_verrucosa	Malpighiales_Pandaceae_Microdesmis_puberula	224	33.9
Malpighiales_Elatinaceae_Bergia_trimera	Malpighiales_Malpighiaceae_Malpighia_emarginata	226	37.8
Malpighiales_Malpighiaceae_Malpighia_glabra	Malpighiales_Malpighiaceae_Amorimia_rigida	225	27.82
Malpighiales_Rhizophoraceae_Ceriops_tagal	Malpighiales_Rhizophoraceae_Rhizophora_mangle	357	33.9
Malpighiales_Salicaceae_Salix_viminalis	Malpighiales_Salicaceae_Abatia_rugosa	229	48.5
